id,barrio,tipo_propiedad,tipo_habitacion,capacidad,banios,dormitorios,camas,precio_ars,minimo_noches,cantidad_resenias,puntaje_resenias,superanfitrion,latitud,longitud,noches_ocupadas_anio
13066433,Caballito,Private room in rental unit,Private room,1,1,,1,34245,7,21,4.81,no,-34.6078,-58.4349,0
13074244,Puerto Madero,Entire rental unit,Entire home/apt,2,1,1,1,193212,7,54,4.94,no,-34.6221,-58.3614,0
13081323,Recoleta,Entire rental unit,Entire home/apt,10,4.5,5,6,594535,3,24,4.67,no,-34.5983,-58.3889,0
13083184,Palermo,Entire rental unit,Entire home/apt,3,,1,2,135986,3,388,4.97,si,-34.5774,-58.4105,156
13896048,Recoleta,Entire condo,Entire home/apt,4,1,2,2,191540,2,263,4.97,si,-34.5976,-58.3905,246
13920985,Recoleta,Entire rental unit,Entire home/apt,4,1.5,2,3,263535,1,235,4.62,si,-34.586,-58.3945,126
13083217,Recoleta,Entire condo,Entire home/apt,3,1,1,2,113835,2,148,4.88,si,-34.5927,-58.3971,90
13108266,Recoleta,Entire rental unit,Entire home/apt,4,2,1,2,86951,6,0,,no,-34.5884,-58.3881,0
13116249,Palermo,Entire rental unit,Entire home/apt,2,1,,1,169288,1,170,4.66,si,-34.5798,-58.4158,120
13128712,Balvanera,Entire condo,Entire home/apt,3,,,,68490,1,493,4.65,si,-34.6015,-58.393,255
13137626,Retiro,Entire condo,Entire home/apt,4,1.5,1,1,280806,5,7,5,no,-34.5951,-58.3749,10
13140027,Nuñez,Entire rental unit,Entire home/apt,2,2,1,2,119557,3,23,4.83,no,-34.5489,-58.4664,6
13149837,Constitucion,Entire serviced apartment,Entire home/apt,2,1,1,2,179164,3,19,4.37,no,-34.6191,-58.3815,18
12870439,San Telmo,Entire condo,Entire home/apt,2,1,1,1,81241,3,51,4.75,no,-34.619,-58.3727,66
12871580,Recoleta,Entire rental unit,Entire home/apt,3,1,1,1,124032,2,61,4.89,no,-34.5938,-58.4062,66
12878526,Puerto Madero,Entire rental unit,Entire home/apt,2,1,1,1,84867,15,34,4.76,si,-34.6215,-58.361,30
14502499,Monserrat,Entire rental unit,Entire home/apt,2,1,1,2,24169,30,3,4.33,no,-34.6148,-58.3864,0
14502680,Palermo,Entire rental unit,Entire home/apt,5,1,2,5,224570,2,269,4.97,si,-34.5853,-58.4183,228
14563636,Palermo,Entire home,Entire home/apt,9,3,4,5,983802,2,98,4.92,si,-34.5878,-58.4257,42
14570066,Chacarita,Entire condo,Entire home/apt,2,,,1,68489,4,61,4.95,si,-34.5894,-58.4483,192
13942349,San Telmo,Entire rental unit,Entire home/apt,4,1,2,3,116599,3,75,4.47,si,-34.6189,-58.3701,102
13154162,Almagro,Entire rental unit,Entire home/apt,5,,1,,123578,2,45,4.93,no,-34.603,-58.4174,30
13187226,Palermo,Room in hostel,Hotel room,2,1,1,2,47848,1,71,4.46,no,-34.5863,-58.424,108
13189480,San Nicolas,Entire rental unit,Entire home/apt,2,1,,4,140176,4,5,4,no,-34.6062,-58.3908,0
13190309,Recoleta,Entire rental unit,Entire home/apt,7,2,3,6,343905,1,76,4.45,no,-34.5953,-58.3933,0
13207464,Palermo,Entire rental unit,Entire home/apt,4,1,2,3,169913,1,92,4.96,no,-34.5833,-58.4219,0
13221166,Almagro,Entire rental unit,Entire home/apt,2,1,1,1,36070,30,1,3,no,-34.6085,-58.4181,0
13260180,Palermo,Entire townhouse,Entire home/apt,5,3.5,3,3,708715,3,11,4.55,si,-34.5889,-58.432,12
13955064,Palermo,Entire rental unit,Entire home/apt,2,,,,57077,10,22,4.95,si,-34.5753,-58.4352,100
13972905,Balvanera,Entire rental unit,Entire home/apt,2,1,,1,56082,6,126,4.59,no,-34.6168,-58.3962,0
13973328,San Telmo,Entire condo,Entire home/apt,2,1,1,1,146210,1,386,4.83,no,-34.6168,-58.368,255
13984621,Retiro,Entire rental unit,Entire home/apt,3,,2,2,153511,3,47,4.85,si,-34.5899,-58.3827,60
13990703,Palermo,Entire loft,Entire home/apt,3,1,1,2,80743,14,54,4.67,no,-34.5785,-58.4345,56
13263300,Palermo,Entire rental unit,Entire home/apt,3,,1,1,111772,2,74,4.95,si,-34.5864,-58.4283,102
13270611,Palermo,Entire rental unit,Entire home/apt,6,3,3,3,680439,7,66,4.73,si,-34.5859,-58.4249,42
13280084,Palermo,Entire rental unit,Entire home/apt,2,1,,3,100248,2,308,4.86,si,-34.5795,-58.4371,42
13294482,Palermo,Entire condo,Entire home/apt,3,,1,,137209,2,382,4.83,si,-34.589,-58.4244,138
13298536,Monserrat,Private room in rental unit,Private room,1,1.5,2,1,59469,6,0,,no,-34.6114,-58.3784,0
13298830,Almagro,Entire rental unit,Entire home/apt,4,1,1,3,84956,4,58,4.91,si,-34.6013,-58.4176,8
13332997,Palermo,Private room in home,Private room,1,2,,1,81743,1,1,5,no,-34.5909,-58.4214,0
14006178,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,89216,6,74,4.99,si,-34.5795,-58.4343,144
14007444,San Nicolas,Entire rental unit,Entire home/apt,2,1,1,1,41560,5,15,4.73,no,-34.5994,-58.3787,0
14014533,Palermo,Entire condo,Entire home/apt,1,1,1,2,238885,5,1,4,no,-34.5805,-58.4419,0
14036439,Recoleta,Entire rental unit,Entire home/apt,2,1.5,1,2,91509,5,13,4.69,si,-34.5917,-58.4012,30
14573855,Recoleta,Entire rental unit,Entire home/apt,2,1,1,,92222,2,259,4.87,si,-34.5987,-58.3896,144
14611369,Belgrano,Entire rental unit,Entire home/apt,3,,1,,,30,11,4.91,no,-34.5569,-58.4511,0
14613911,Balvanera,Private room in rental unit,Private room,1,1,2,1,49146,1,35,4.91,no,-34.6046,-58.4132,0
14631333,Recoleta,Entire rental unit,Entire home/apt,4,1.5,1,2,220797,3,7,5,si,-34.5915,-58.412,42
14648909,Recoleta,Entire rental unit,Entire home/apt,4,2.5,2,3,275437,30,1,5,no,-34.5861,-58.4001,0
14663923,Belgrano,Private room in condo,Private room,1,1,,2,44667,4,32,4.84,no,-34.5569,-58.4545,120
